checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job
A,12,critical,car_used,1409,A,A,4,single_male,none,3,real_estate,54,none,own,1,1,1,none,yes,skilled_employee
unknown,12,critical,radio_tv,797,unknown,A,4,female,none,3,building_society_savings,33,bank,own,1,2,2,none,yes,unskilled_resident
B,24,critical,furniture,3617,unknown,A,4,single_male,co-applicant,4,unknown_none,20,none,rent,2,1,1,none,yes,skilled_employee
C,12,repaid,car_new,1318,B,A,4,single_male,none,4,real_estate,54,none,own,1,1,1,yes,yes,skilled_employee
C,54,fully repaid,business,15945,A,B,3,single_male,none,4,unknown_none,58,none,rent,1,2,1,yes,yes,skilled_employee
unknown,12,critical,education,2012,unknown,D,4,female,none,2,other,61,none,own,1,1,1,none,yes,skilled_employee
C,18,repaid,business,2622,C,C,4,single_male,none,4,other,34,none,own,1,1,1,none,yes,skilled_employee
C,36,critical,radio_tv,2337,A,A,4,single_male,none,4,real_estate,36,none,own,1,1,1,none,yes,skilled_employee
C,20,delayed,car_used,7057,unknown,D,3,single_male,none,4,building_society_savings,36,bank,rent,2,1,2,yes,yes,mangement_self_employed
unknown,24,repaid,car_new,1469,C,A,4,married_male,none,4,real_estate,41,none,rent,1,1,1,none,yes,unskilled_resident
C,36,repaid,radio_tv,2323,A,D,4,single_male,none,4,other,24,none,rent,1,1,1,none,yes,skilled_employee
unknown,6,delayed,radio_tv,932,A,C,3,female,none,2,real_estate,24,none,own,1,1,1,none,yes,skilled_employee
C,9,critical,furniture,1919,A,D,4,single_male,none,3,other,35,none,rent,1,1,1,yes,yes,skilled_employee
unknown,12,repaid,car_used,2445,unknown,B,2,married_male,none,4,other,26,none,rent,1,1,1,yes,yes,skilled_employee
C,24,critical,others,11938,A,C,2,single_male,co-applicant,3,other,39,none,own,2,2,2,yes,yes,mangement_self_employed
unknown,18,fully repaid this bank,car_new,6458,A,A,2,single_male,none,4,unknown_none,39,bank,own,2,2,2,yes,yes,mangement_self_employed
C,12,repaid,car_new,6078,A,D,2,single_male,none,2,other,32,none,own,1,1,1,none,yes,skilled_employee
A,24,repaid,furniture,7721,unknown,B,1,female,none,2,building_society_savings,30,none,own,1,1,1,yes,no,skilled_employee
C,14,repaid,business,1410,D,A,1,married_male,none,2,real_estate,35,none,own,1,1,1,yes,yes,skilled_employee
C,6,delayed,business,1449,C,A,1,divorced_male,none,2,other,31,bank,own,2,1,2,none,yes,skilled_employee
B,15,repaid,education,392,A,B,4,female,none,4,building_society_savings,23,none,rent,1,1,1,yes,yes,skilled_employee
C,18,repaid,car_new,6260,A,D,3,single_male,none,3,real_estate,28,none,rent,1,1,1,none,yes,unskilled_resident
unknown,36,critical,car_new,7855,A,C,4,female,none,2,real_estate,25,stores,own,2,2,1,yes,yes,skilled_employee
A,12,repaid,radio_tv,1680,D,A,3,married_male,none,1,real_estate,35,none,own,1,1,1,none,yes,skilled_employee
unknown,48,critical,radio_tv,3578,unknown,A,4,single_male,none,1,real_estate,47,none,own,1,1,1,yes,yes,skilled_employee
A,42,repaid,radio_tv,7174,unknown,D,4,female,none,3,other,30,none,own,1,2,1,yes,yes,mangement_self_employed
A,10,critical,furniture,2132,unknown,B,2,female,co-applicant,3,real_estate,27,none,rent,2,1,1,none,no,skilled_employee
A,33,critical,furniture,4281,D,C,1,female,none,4,other,23,none,own,2,2,1,none,yes,skilled_employee
C,12,critical,car_new,2366,D,D,3,divorced_male,none,3,other,36,none,own,1,1,1,yes,yes,mangement_self_employed
A,21,repaid,radio_tv,1835,A,C,3,female,none,2,real_estate,25,none,own,2,2,1,yes,yes,skilled_employee
unknown,24,critical,car_used,3868,A,A,4,female,none,2,other,41,none,rent,2,1,1,yes,yes,mangement_self_employed
unknown,12,repaid,furniture,1768,A,C,3,single_male,none,2,real_estate,24,none,rent,1,1,1,none,yes,unskilled_resident
B,10,critical,car_new,781,A,A,4,single_male,none,4,unknown_none,63,none,for_free,2,1,1,yes,yes,skilled_employee
C,18,repaid,furniture,1924,unknown,B,4,female,none,3,real_estate,27,none,rent,1,2,1,none,yes,skilled_employee
A,12,critical,car_new,2121,A,C,4,single_male,none,2,building_society_savings,30,none,own,2,1,1,none,yes,skilled_employee
A,12,repaid,radio_tv,701,A,C,4,married_male,none,2,real_estate,40,none,own,1,1,1,none,yes,unskilled_resident
C,12,repaid,repairs,639,A,C,4,single_male,none,2,other,30,none,own,1,2,1,none,yes,skilled_employee
C,12,critical,car_used,1860,A,unemployed,4,single_male,none,2,other,34,none,own,2,1,1,yes,yes,mangement_self_employed
A,12,critical,car_new,3499,A,C,3,female,co-applicant,2,real_estate,29,none,own,2,2,1,none,yes,skilled_employee
C,48,repaid,car_new,8487,unknown,D,1,female,none,2,other,24,none,own,1,1,1,none,yes,skilled_employee
A,36,delayed,education,6887,A,C,4,single_male,none,3,building_society_savings,29,stores,own,1,2,1,yes,yes,skilled_employee
unknown,15,repaid,furniture,2708,A,B,2,single_male,none,3,building_society_savings,27,bank,own,2,1,1,none,yes,unskilled_resident
unknown,18,repaid,furniture,1984,A,C,4,single_male,none,4,unknown_none,47,bank,for_free,2,1,1,none,yes,skilled_employee
unknown,60,repaid,radio_tv,10144,C,D,2,female,none,4,real_estate,21,none,own,1,1,1,yes,yes,skilled_employee
unknown,12,critical,radio_tv,1240,unknown,A,4,female,none,2,real_estate,38,none,own,2,1,1,yes,yes,skilled_employee
unknown,27,delayed,car_used,8613,B,C,2,single_male,none,2,other,27,none,own,2,1,1,none,yes,skilled_employee
C,12,repaid,radio_tv,766,D,C,4,single_male,none,3,real_estate,66,none,own,1,2,1,none,yes,unskilled_resident
C,15,critical,radio_tv,2728,unknown,D,4,single_male,guarantor,2,real_estate,35,bank,own,3,1,1,yes,yes,skilled_employee
B,12,repaid,radio_tv,1881,A,C,2,female,none,2,other,44,none,rent,1,1,1,yes,yes,unskilled_resident
B,6,repaid,car_new,709,B,B,2,married_male,none,2,real_estate,27,none,own,1,1,1,none,no,unemployed_non_resident
C,36,repaid,radio_tv,4795,A,B,4,female,none,1,unknown_none,30,none,own,1,1,1,yes,yes,mangement_self_employed
A,27,repaid,radio_tv,3416,A,C,3,single_male,none,2,other,27,none,own,1,1,1,none,yes,mangement_self_employed
A,18,repaid,furniture,2462,A,C,2,single_male,none,2,other,22,none,own,1,2,1,none,yes,skilled_employee
unknown,21,critical,furniture,2288,A,B,4,female,none,4,building_society_savings,23,none,own,1,1,1,yes,yes,skilled_employee
C,48,fully repaid this bank,business,3566,C,D,4,single_male,none,2,other,30,none,own,1,1,1,none,yes,skilled_employee
A,6,critical,car_new,860,A,A,1,female,none,4,unknown_none,39,none,own,2,1,1,yes,yes,skilled_employee
unknown,12,critical,car_new,682,C,D,4,female,none,3,other,51,none,own,2,1,1,yes,yes,skilled_employee
A,36,critical,furniture,5371,A,C,3,single_male,guarantor,2,building_society_savings,28,none,own,2,1,1,none,yes,skilled_employee
unknown,18,critical,radio_tv,1582,B,A,4,single_male,none,4,other,46,none,own,2,1,1,none,yes,skilled_employee
unknown,6,repaid,radio_tv,1346,C,A,2,single_male,none,4,unknown_none,42,bank,for_free,1,1,2,yes,yes,skilled_employee
unknown,10,repaid,radio_tv,1924,A,C,1,single_male,none,4,building_society_savings,38,none,own,1,1,1,yes,no,skilled_employee
B,36,repaid,radio_tv,5848,A,C,4,single_male,none,1,other,24,none,own,1,1,1,none,yes,skilled_employee
C,24,critical,car_used,7758,B,A,2,female,none,4,unknown_none,29,none,rent,1,1,1,none,yes,skilled_employee
C,24,delayed,business,6967,C,D,4,single_male,none,4,other,36,none,rent,1,1,1,yes,yes,mangement_self_employed
A,12,repaid,furniture,1282,A,C,2,female,none,4,other,20,none,rent,1,2,1,none,yes,skilled_employee
A,9,critical,repairs,1288,C,A,3,single_male,guarantor,4,real_estate,48,none,own,2,1,2,none,no,skilled_employee
A,12,fully repaid this bank,retraining,339,A,A,4,married_male,none,1,other,45,bank,own,1,1,1,none,yes,unskilled_resident
C,24,repaid,car_new,3512,C,D,2,single_male,none,3,other,38,bank,own,2,1,1,yes,yes,skilled_employee
unknown,6,critical,radio_tv,1898,unknown,C,1,single_male,none,2,real_estate,34,none,own,2,1,2,none,yes,unskilled_resident
unknown,24,critical,radio_tv,2872,C,A,3,single_male,none,4,real_estate,36,none,own,1,1,2,yes,yes,skilled_employee
unknown,18,critical,car_new,1055,A,B,4,female,none,1,building_society_savings,30,none,own,2,1,1,none,yes,skilled_employee
unknown,15,repaid,domestic appliances,1262,D,D,4,single_male,none,3,building_society_savings,36,none,own,2,1,1,yes,yes,skilled_employee
C,10,repaid,car_new,7308,A,unemployed,2,single_male,none,4,unknown_none,70,bank,for_free,1,1,1,yes,yes,mangement_self_employed
unknown,36,repaid,car_new,909,D,A,4,single_male,none,4,building_society_savings,36,none,own,1,1,1,none,yes,skilled_employee
unknown,6,repaid,furniture,2978,D,C,1,single_male,none,2,other,32,none,own,1,1,1,yes,yes,skilled_employee
A,18,repaid,furniture,1131,A,unemployed,4,female,none,2,other,33,none,own,1,2,1,none,yes,skilled_employee
C,11,repaid,furniture,1577,B,B,4,female,none,1,real_estate,20,none,own,1,1,1,none,yes,skilled_employee
unknown,24,repaid,furniture,3972,A,D,2,female,none,4,building_society_savings,25,none,rent,1,1,1,yes,yes,skilled_employee
C,24,critical,business,1935,A,A,4,divorced_male,none,4,real_estate,31,none,own,2,2,1,yes,yes,skilled_employee
A,15,fully repaid,car_new,950,A,A,4,single_male,none,3,other,33,none,rent,2,2,2,none,yes,skilled_employee
unknown,12,repaid,furniture,763,A,C,4,female,none,1,real_estate,26,none,own,1,1,1,yes,yes,skilled_employee
C,24,delayed,furniture,2064,A,unemployed,3,female,none,2,building_society_savings,34,none,own,1,2,1,yes,yes,mangement_self_employed
C,8,repaid,radio_tv,1414,A,C,4,single_male,guarantor,2,real_estate,33,none,own,1,1,1,none,no,skilled_employee
A,21,delayed,education,3414,A,B,2,single_male,none,1,building_society_savings,26,none,own,2,2,1,none,yes,skilled_employee
unknown,30,fully repaid this bank,car_used,7485,unknown,unemployed,4,female,none,1,real_estate,53,bank,own,1,2,1,yes,yes,mangement_self_employed
A,12,repaid,furniture,2577,A,C,2,divorced_male,none,1,other,42,none,own,1,1,1,none,yes,skilled_employee
A,6,critical,radio_tv,338,D,A,4,single_male,none,4,other,52,none,own,2,1,1,none,yes,skilled_employee
unknown,12,repaid,radio_tv,1963,A,D,4,single_male,none,2,other,31,none,rent,2,1,2,yes,yes,mangement_self_employed
A,21,critical,car_new,571,A,A,4,single_male,none,4,real_estate,65,none,own,2,1,1,none,yes,skilled_employee
unknown,36,delayed,business,9572,A,B,1,divorced_male,none,1,other,28,none,own,2,2,1,none,yes,skilled_employee
C,36,delayed,business,4455,A,C,2,divorced_male,none,2,real_estate,30,stores,own,2,2,1,yes,yes,mangement_self_employed
A,21,fully repaid this bank,car_new,1647,unknown,C,4,single_male,none,2,building_society_savings,40,none,own,2,2,2,none,yes,unskilled_resident
unknown,24,critical,furniture,3777,B,C,4,single_male,none,4,real_estate,50,none,own,1,1,1,yes,yes,skilled_employee
C,18,critical,car_new,884,A,A,4,single_male,none,4,other,36,bank,own,1,2,2,yes,yes,skilled_employee
unknown,15,critical,radio_tv,1360,A,C,4,single_male,none,2,building_society_savings,31,none,own,2,1,1,none,yes,skilled_employee
C,9,fully repaid this bank,car_used,5129,A,A,2,female,none,4,unknown_none,74,bank,for_free,1,2,2,yes,yes,mangement_self_employed
C,16,critical,car_new,1175,A,unemployed,2,single_male,none,3,other,68,none,for_free,3,1,1,yes,yes,unemployed_non_resident
A,12,repaid,radio_tv,674,C,D,4,married_male,none,1,building_society_savings,20,none,own,1,2,1,none,yes,skilled_employee
C,18,fully repaid,furniture,3244,A,C,1,female,none,4,other,33,bank,own,2,1,1,yes,yes,skilled_employee
unknown,24,repaid,business,4591,B,C,2,single_male,none,3,building_society_savings,54,none,own,3,2,1,yes,yes,mangement_self_employed
C,48,fully repaid,business,3844,C,D,4,single_male,none,4,unknown_none,34,none,for_free,1,2,2,none,yes,unskilled_resident
C,27,repaid,business,3915,A,C,4,single_male,none,2,other,36,none,own,1,2,2,yes,yes,skilled_employee
unknown,6,repaid,radio_tv,2108,A,D,2,married_male,none,2,real_estate,29,none,rent,1,1,1,none,yes,skilled_employee
C,45,repaid,radio_tv,3031,C,C,4,single_male,guarantor,4,building_society_savings,21,none,rent,1,2,1,none,yes,skilled_employee
C,9,critical,education,1501,A,A,2,female,none,3,other,34,none,own,2,2,1,yes,yes,mangement_self_employed
unknown,6,critical,radio_tv,1382,A,C,1,female,none,1,other,28,none,own,2,1,1,yes,yes,skilled_employee
C,12,repaid,furniture,951,C,B,4,female,none,4,other,27,bank,rent,4,2,1,none,yes,skilled_employee
C,24,repaid,car_used,2760,unknown,A,4,single_male,none,4,unknown_none,36,bank,for_free,1,1,1,yes,yes,skilled_employee
C,18,delayed,furniture,4297,A,A,4,divorced_male,none,3,unknown_none,40,none,own,1,2,1,yes,yes,mangement_self_employed
unknown,9,critical,education,936,D,A,4,single_male,none,2,other,52,none,own,2,1,1,yes,yes,skilled_employee
A,12,repaid,car_new,1168,A,C,4,married_male,none,3,real_estate,27,none,own,1,1,1,none,yes,unskilled_resident
unknown,27,delayed,business,5117,A,D,3,single_male,none,4,other,26,none,own,2,1,1,none,yes,skilled_employee
A,12,repaid,retraining,902,A,D,4,married_male,none,4,building_society_savings,21,none,rent,1,2,1,none,yes,skilled_employee
unknown,12,critical,car_new,1495,A,A,4,single_male,none,1,real_estate,38,none,own,2,1,2,none,yes,unskilled_resident
A,30,critical,car_used,10623,A,A,3,single_male,none,4,unknown_none,38,none,for_free,3,1,2,yes,yes,mangement_self_employed
unknown,12,critical,furniture,1935,A,A,4,single_male,none,4,real_estate,43,none,own,3,1,1,yes,yes,skilled_employee
C,12,critical,domestic appliances,1424,A,D,4,single_male,none,3,building_society_savings,26,none,own,1,1,1,none,yes,skilled_employee
A,24,repaid,business,6568,A,C,2,married_male,none,2,other,21,stores,own,1,1,1,none,yes,unskilled_resident
unknown,12,repaid,car_used,1413,B,D,3,single_male,none,2,building_society_savings,55,none,own,1,1,1,none,no,skilled_employee
unknown,9,critical,radio_tv,3074,unknown,C,1,single_male,none,2,real_estate,33,none,own,2,1,2,none,yes,skilled_employee
unknown,36,repaid,radio_tv,3835,unknown,A,2,female,none,4,real_estate,45,none,own,1,1,1,yes,yes,unskilled_resident
A,27,fully repaid,business,5293,A,unemployed,2,single_male,none,4,building_society_savings,50,stores,own,2,2,1,yes,yes,skilled_employee
B,30,delayed,business,1908,A,A,4,single_male,none,4,real_estate,66,none,own,1,2,1,yes,yes,mangement_self_employed
unknown,36,critical,radio_tv,3342,unknown,A,4,single_male,none,2,other,51,none,own,1,1,1,yes,yes,skilled_employee
C,6,critical,retraining,932,unknown,D,1,female,none,3,building_society_savings,39,none,own,2,1,1,none,yes,unskilled_resident
A,18,fully repaid,business,3104,A,D,3,single_male,none,1,building_society_savings,31,bank,own,1,1,1,yes,yes,skilled_employee
B,36,repaid,radio_tv,3913,A,C,2,single_male,none,2,real_estate,23,none,own,1,1,1,yes,yes,skilled_employee
A,24,repaid,furniture,3021,A,C,2,divorced_male,none,2,real_estate,24,none,rent,1,1,1,none,yes,unskilled_resident
unknown,10,repaid,car_new,1364,A,C,2,female,none,4,other,64,none,own,1,1,1,yes,yes,skilled_employee
C,12,repaid,radio_tv,625,A,B,4,married_male,guarantor,1,real_estate,26,bank,own,1,1,1,none,yes,unskilled_resident
A,12,repaid,education,1200,unknown,C,4,female,none,4,building_society_savings,23,bank,rent,1,1,1,yes,yes,skilled_employee
unknown,12,repaid,radio_tv,707,A,C,4,single_male,none,2,real_estate,30,bank,own,2,1,1,none,yes,skilled_employee
unknown,24,delayed,business,2978,unknown,C,4,single_male,none,4,real_estate,32,none,own,2,1,2,yes,yes,skilled_employee
unknown,15,repaid,car_used,4657,A,C,3,single_male,none,2,other,30,none,own,1,1,1,yes,yes,skilled_employee
unknown,36,fully repaid,repairs,2613,A,C,4,single_male,none,2,other,27,none,own,2,1,1,none,yes,skilled_employee
C,48,repaid,radio_tv,10961,B,D,1,single_male,co-applicant,2,unknown_none,27,bank,own,2,2,1,yes,yes,skilled_employee
A,12,repaid,furniture,7865,A,A,4,single_male,none,4,unknown_none,53,none,for_free,1,2,1,yes,yes,mangement_self_employed
unknown,9,repaid,radio_tv,1478,A,D,4,single_male,none,2,other,22,none,own,1,2,1,none,yes,skilled_employee
