"SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_TYPE_SUITE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","OWN_CAR_AGE","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","OBS_30_CNT_SOCIAL_CIRCLE","DEF_30_CNT_SOCIAL_CIRCLE","OBS_60_CNT_SOCIAL_CIRCLE","DEF_60_CNT_SOCIAL_CIRCLE","DAYS_LAST_PHONE_CHANGE"
100479,0,"Revolving loans","M","Y",0,90000,180000,9000,180000,"Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment",0.018801,-9496,-189,-4182,-2153,64,1,1,0,1,0,0,"Laborers",1,2,2,"SUNDAY",7,0,0,0,0,1,1,"Business Entity Type 3",0,0,0,0,0
100508,0,"Cash loans","F","Y",0,450000,1971072,62019,1800000,"Spouse, partner","Commercial associate","Higher education","Married","House / apartment",0.032561,-18268,-2569,-4292,-1699,1,1,1,0,1,1,1,"Managers",2,1,1,"WEDNESDAY",13,0,0,0,0,0,0,"Trade: type 3",0,0,0,0,-523
100557,0,"Cash loans","F","Y",0,225000,1320975,43785,1183500,"Unaccompanied","Commercial associate","Incomplete higher","Married","House / apartment",0.018801,-10825,-1802,-4757,-2238,11,1,1,0,1,1,0,"Sales staff",2,2,2,"MONDAY",10,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-1266
100567,1,"Revolving loans","M","Y",0,99000,180000,9000,180000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.028663,-8063,-261,-738,-735,10,1,1,0,1,0,0,"Sales staff",2,2,2,"MONDAY",12,0,0,0,0,0,0,"Self-employed",1,0,1,0,-390
100678,0,"Cash loans","F","Y",2,184500,1078200,31522.5,9e+05,"Spouse, partner","Working","Higher education","Married","House / apartment",0.020246,-10598,-854,-558,-630,6,1,1,0,1,0,0,"High skill tech staff",4,3,3,"TUESDAY",9,0,0,0,0,1,1,"Industry: type 2",0,0,0,0,-1823
100805,0,"Cash loans","M","N",0,270000,1098000,28962,1098000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.028663,-11809,-1901,-5293,-4495,2,1,1,0,1,0,0,"Managers",2,2,2,"WEDNESDAY",9,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-401
100810,0,"Revolving loans","M","Y",2,540000,9e+05,45000,9e+05,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.018801,-12643,-770,-83,-4126,13,1,1,0,1,0,0,"Managers",4,2,2,"MONDAY",10,0,0,0,0,0,0,"Self-employed",0,0,0,0,-457
100852,0,"Cash loans","M","Y",0,157500,1190340,63549,1125000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.006671,-19794,-2260,-7567,-3310,20,1,1,0,1,0,0,"Managers",2,2,2,"TUESDAY",12,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-569
100879,1,"Cash loans","F","Y",0,450000,1323000,47650.5,1323000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.018209,-18740,-1369,-8719,-2232,2,1,1,0,1,0,0,"Sales staff",2,3,3,"TUESDAY",10,0,0,0,0,0,0,"Trade: type 7",1,0,1,0,-271
100920,0,"Cash loans","M","Y",3,112500,832500,24471,832500,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.028663,-13765,-1806,-8001,-4701,7,1,1,1,1,1,0,"Drivers",5,2,2,"FRIDAY",10,0,0,0,0,0,0,"Transport: type 3",0,0,0,0,-3333
100988,0,"Cash loans","M","Y",0,180000,1350000,38821.5,1350000,"Unaccompanied","Working","Higher education","Single / not married","House / apartment",0.028663,-8664,-756,-4717,-1332,11,1,1,0,1,1,0,"High skill tech staff",1,2,2,"MONDAY",11,0,1,1,0,1,1,"Business Entity Type 3",1,0,1,0,-496
101038,0,"Cash loans","M","Y",0,180000,675000,34596,675000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.026392,-19002,-1276,-3926,-2552,8,1,1,0,1,0,1,"Laborers",2,2,2,"THURSDAY",13,0,1,1,0,1,1,"Transport: type 4",1,0,1,0,-1433
101059,0,"Cash loans","M","Y",0,225000,454500,46570.5,454500,"Unaccompanied","Working","Higher education","Married","House / apartment",0.019689,-12229,-4078,-90,-4138,1,1,1,0,1,1,0,"High skill tech staff",2,2,2,"TUESDAY",12,0,0,0,0,0,0,"Industry: type 9",0,0,0,0,-1737
101158,0,"Revolving loans","M","Y",0,180000,180000,9000,180000,"Unaccompanied","Working","Higher education","Single / not married","House / apartment",0.009657,-10419,-138,-180,-2687,64,1,1,0,1,0,0,"Sales staff",1,2,2,"WEDNESDAY",11,0,0,0,0,0,0,"Trade: type 3",0,0,0,0,-483
101166,0,"Revolving loans","F","N",0,157500,180000,9000,180000,"Unaccompanied","Working","Secondary / secondary special","Single / not married","With parents",0.020713,-10076,-558,-3771,-2748,1,1,1,0,1,0,0,"Laborers",1,3,2,"MONDAY",12,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-718
101216,0,"Cash loans","F","Y",0,135000,518562,22099.5,463500,"Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment",0.031329,-17964,-169,-9735,-1484,5,1,1,0,1,0,0,"Medicine staff",1,2,2,"WEDNESDAY",9,0,0,0,0,1,1,"Medicine",1,0,1,0,-3192
101218,0,"Cash loans","M","Y",0,522000,746280,59094,675000,"Unaccompanied","State servant","Higher education","Married","House / apartment",0.072508,-20715,-504,-11795,-4027,2,1,1,0,1,1,0,"Drivers",2,1,1,"FRIDAY",13,0,0,0,0,0,0,"Government",1,0,1,0,-520
101335,0,"Cash loans","M","Y",1,135000,526491,32337,454500,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.008866,-11741,-273,-209,-3756,7,1,1,0,1,0,0,"Laborers",3,2,2,"TUESDAY",15,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-2155
101351,0,"Cash loans","F","Y",2,157500,363190.5,24399,328500,"Unaccompanied","Working","Higher education","Married","House / apartment",0.010006,-10866,-2235,-1385,-3338,3,1,1,0,1,0,0,"Laborers",4,2,2,"MONDAY",12,0,0,0,0,1,1,"Industry: type 9",2,0,2,0,-2143
101372,0,"Cash loans","M","Y",0,225000,127350,12726,112500,"Unaccompanied","State servant","Higher education","Married","House / apartment",0.019101,-13418,-6589,-1520,-4084,9,1,1,0,1,0,0,"High skill tech staff",2,2,2,"SATURDAY",12,0,0,0,0,1,1,"Other",0,0,0,0,-1691
101422,0,"Cash loans","M","Y",1,225000,948582,33736.5,679500,"Family","Working","Secondary / secondary special","Married","House / apartment",0.020713,-8953,-462,-707,-1414,22,1,1,0,1,0,0,"Laborers",3,3,3,"THURSDAY",6,0,0,0,0,1,1,"Hotel",9,0,9,0,-25
101452,0,"Cash loans","F","Y",1,180000,253737,26775,229500,"Children","Commercial associate","Secondary / secondary special","Single / not married","With parents",0.031329,-10373,-463,-155,-2696,16,1,1,0,1,1,0,"Laborers",2,2,2,"SATURDAY",11,0,0,0,0,0,0,"Industry: type 9",0,0,0,0,-632
101461,0,"Cash loans","M","Y",0,810000,661500,37066.5,661500,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","House / apartment",0.072508,-21766,-5065,-11148,-1374,5,1,1,0,1,1,0,"Drivers",2,1,1,"SATURDAY",10,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-1695
101463,0,"Cash loans","M","N",1,202500,1132573.5,37561.5,927000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.016612,-14206,-5652,-8351,-4644,14,1,1,0,1,0,0,"Drivers",3,2,2,"THURSDAY",10,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-390
101476,0,"Cash loans","M","N",3,135000,508495.5,24592.5,454500,"Family","Working","Lower secondary","Married","House / apartment",0.008866,-16227,-2251,-6186,-4184,6,1,1,0,1,0,0,"Laborers",5,2,2,"SUNDAY",12,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-1687
101482,0,"Cash loans","M","N",0,211500,1515415.5,41670,1354500,"Family","Working","Secondary / secondary special","Married","House / apartment",0.010006,-18805,-1197,-3272,-2349,7,1,1,0,1,1,0,"Drivers",2,2,1,"SUNDAY",17,0,0,0,0,0,0,"Business Entity Type 2",5,0,5,0,-1058
101493,0,"Cash loans","M","Y",0,315000,1078200,34911,9e+05,"Spouse, partner","Working","Secondary / secondary special","Married","House / apartment",0.007274,-15351,-1888,-2739,-2749,8,1,1,0,1,0,0,"Drivers",2,2,2,"SATURDAY",12,1,1,0,0,0,0,"Business Entity Type 3",2,0,2,0,-1520
101517,0,"Cash loans","M","N",0,270000,1080000,38790,1080000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.005144,-17678,-5150,-356,-1204,14,1,1,1,1,0,0,"Drivers",2,2,2,"MONDAY",9,0,0,0,0,0,0,"Self-employed",2,0,2,0,-854
101586,0,"Revolving loans","F","Y",0,225000,270000,13500,270000,"Unaccompanied","Commercial associate","Higher education","Single / not married","House / apartment",0.04622,-8981,-941,-3833,-1649,6,1,1,0,1,0,0,"Managers",1,1,1,"SATURDAY",16,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-478
101600,0,"Cash loans","F","Y",2,270000,1293502.5,37948.5,1129500,"Family","State servant","Higher education","Married","House / apartment",0.006207,-12438,-326,-6304,-5055,8,1,1,1,1,0,0,"Accountants",4,2,2,"SATURDAY",13,0,0,0,0,0,0,"Government",0,0,0,0,-3244
101608,0,"Cash loans","M","Y",2,135000,101880,10939.5,90000,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","House / apartment",0.002506,-16290,-501,-8673,-4453,14,1,1,0,1,0,0,"Drivers",4,2,2,"FRIDAY",2,0,0,0,0,0,0,"Business Entity Type 3",1,0,1,0,-398
101676,0,"Cash loans","M","Y",0,202500,254700,16713,225000,"Unaccompanied","Working","Incomplete higher","Married","House / apartment",0.018801,-9142,-746,-4016,-1805,9,1,1,0,1,0,0,"High skill tech staff",2,2,2,"SUNDAY",10,0,0,0,0,1,1,"Business Entity Type 3",0,0,0,0,-1393
101681,0,"Revolving loans","F","Y",1,180000,405000,20250,405000,"Unaccompanied","Working","Secondary / secondary special","Widow","House / apartment",0.04622,-17057,-4704,-11143,-602,3,1,1,0,1,0,0,"Medicine staff",2,1,1,"WEDNESDAY",10,0,1,1,0,0,0,"Other",0,0,0,0,-534
101713,0,"Cash loans","M","Y",0,202500,697500,27792,697500,"Unaccompanied","Working","Higher education","Single / not married","House / apartment",0.01452,-12557,-358,-291,-4113,10,1,1,0,1,0,0,"Managers",1,2,2,"WEDNESDAY",8,0,0,0,0,0,0,"Business Entity Type 3",2,0,2,0,-1236
101730,1,"Cash loans","F","N",2,90000,450000,19066.5,450000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.031329,-13840,-2067,-3467,-857,9,1,1,0,1,0,0,"Private service staff",4,2,2,"THURSDAY",15,0,0,0,0,0,0,"Services",9,0,9,0,-1794
101804,0,"Revolving loans","M","Y",2,90000,180000,9000,180000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.020246,-12176,-123,-825,-4574,13,1,1,0,1,0,0,"Drivers",4,3,3,"MONDAY",7,0,0,0,0,0,0,"Industry: type 9",2,0,2,0,-583
101837,0,"Cash loans","M","Y",0,450000,1965226.5,68440.5,1696500,"Spouse, partner","Commercial associate","Secondary / secondary special","Married","House / apartment",0.072508,-18318,-923,-10698,-1871,5,1,1,0,1,1,1,"Drivers",2,1,1,"SUNDAY",11,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-1382
101980,1,"Cash loans","F","N",0,135000,508495.5,26091,454500,"Unaccompanied","State servant","Secondary / secondary special","Married","Office apartment",0.006305,-10581,-405,-2953,-3269,22,1,1,1,1,0,0,"Medicine staff",2,3,3,"MONDAY",12,0,0,0,0,1,1,"Medicine",2,0,2,0,-751
102011,0,"Cash loans","F","Y",0,135000,9e+05,48825,9e+05,"Other_A","Commercial associate","Secondary / secondary special","Married","House / apartment",0.025164,-15067,-2600,-7713,-4436,10,1,1,0,1,0,0,"Sales staff",2,2,2,"MONDAY",7,0,0,0,0,0,0,"Self-employed",0,0,0,0,-287
102021,0,"Cash loans","F","Y",0,157500,1104997.5,36648,990000,"Family","Working","Higher education","Married","House / apartment",0.018801,-19229,-3045,-6475,-2738,12,1,1,0,1,1,0,"Core staff",2,2,2,"TUESDAY",9,0,0,0,0,0,0,"Government",2,1,2,1,-597
102107,0,"Cash loans","F","Y",0,225000,781920,42417,675000,"Family","Working","Secondary / secondary special","Civil marriage","Municipal apartment",0.011657,-15264,-1013,-7358,-4909,8,1,1,1,1,1,0,"Private service staff",2,1,1,"FRIDAY",10,0,0,0,0,0,0,"Services",0,0,0,0,-794
102116,0,"Cash loans","F","Y",0,405000,1705500,53680.5,1705500,"Unaccompanied","Working","Higher education","Separated","House / apartment",0.072508,-17231,-1344,-10937,-774,0,1,1,1,1,1,0,"Laborers",1,1,1,"FRIDAY",11,0,0,0,0,0,0,"Self-employed",0,0,0,0,-300
102156,0,"Cash loans","M","Y",2,225000,572076,39946.5,540000,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.04622,-15021,-525,-1339,-4529,10,1,1,0,1,0,0,"High skill tech staff",4,1,1,"FRIDAY",13,0,0,0,0,1,1,"Construction",0,0,0,0,-3193
102186,0,"Cash loans","F","N",2,180000,9e+05,26316,9e+05,"Unaccompanied","State servant","Higher education","Married","House / apartment",0.022625,-14502,-1063,-3078,-1402,12,1,1,0,1,1,0,"Drivers",4,2,2,"TUESDAY",16,0,0,0,0,0,0,"School",3,1,3,0,-1560
102202,0,"Cash loans","F","Y",0,360000,9e+05,29034,9e+05,"Unaccompanied","Commercial associate","Higher education","Separated","Municipal apartment",0.04622,-12526,-990,-6676,-5192,0,1,1,0,1,1,0,"Core staff",1,1,1,"SUNDAY",12,0,1,1,0,1,1,"Bank",0,0,0,0,-1310
102222,0,"Cash loans","M","N",0,180000,291384,22680,270000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.005313,-12696,-1769,-2818,-4700,14,1,1,1,1,1,0,"Managers",2,2,2,"FRIDAY",13,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-752
102275,0,"Cash loans","M","Y",0,135000,239850,23850,225000,"Unaccompanied","State servant","Secondary / secondary special","Married","House / apartment",0.018029,-9699,-2780,-2993,-2319,6,1,1,0,1,0,0,"Laborers",2,3,3,"MONDAY",12,0,0,0,0,0,0,"Transport: type 2",0,0,0,0,-1235
102276,0,"Revolving loans","M","Y",0,540000,315000,15750,450000,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.072508,-12613,-2747,-3410,-4383,5,1,1,1,1,0,0,"Managers",2,1,1,"THURSDAY",14,0,0,0,0,0,0,"Trade: type 2",5,0,5,0,-127
102311,0,"Cash loans","M","Y",2,270000,592560,35937,450000,"Unaccompanied","Commercial associate","Incomplete higher","Married","House / apartment",0.072508,-14327,-1422,-162,-1652,4,1,1,0,1,1,0,"Managers",4,1,1,"WEDNESDAY",11,0,0,0,0,0,0,"Business Entity Type 3",3,0,3,0,-3432
102379,0,"Cash loans","M","Y",0,112500,497520,32391,450000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.018634,-16228,-2386,-8647,-4251,0,1,1,1,1,1,0,"Drivers",2,2,2,"THURSDAY",11,0,0,0,0,0,0,"Business Entity Type 1",4,0,3,0,-693
102543,0,"Revolving loans","M","Y",1,202500,270000,13500,270000,"Family","Commercial associate","Higher education","Married","House / apartment",0.018209,-14997,-7514,-1287,-4334,10,1,1,0,1,1,0,"Sales staff",3,3,3,"MONDAY",13,0,0,0,0,0,0,"Trade: type 7",1,0,1,0,-381
102658,0,"Cash loans","M","Y",2,270000,781920,37746,675000,"Family","Working","Higher education","Married","House / apartment",0.006305,-15665,-408,-3860,-238,2,1,1,0,1,0,0,"Drivers",4,3,3,"MONDAY",7,0,0,0,0,0,0,"Business Entity Type 3",1,0,1,0,-694
102718,0,"Revolving loans","M","Y",0,157500,450000,22500,450000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.035792,-21512,-1658,-5223,-4670,3,1,1,0,1,0,0,"Managers",2,2,2,"WEDNESDAY",11,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-2280
102742,0,"Cash loans","F","Y",0,270000,932427,59719.5,864000,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","House / apartment",0.035792,-14978,-3098,-2944,-3289,7,1,1,0,1,0,0,"Sales staff",2,2,2,"TUESDAY",13,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-2030
102802,0,"Cash loans","M","N",0,292500,1087366.5,35208,949500,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.010006,-15536,-498,-1022,-4532,13,1,1,1,1,0,0,"Laborers",2,2,1,"TUESDAY",10,0,0,0,0,0,0,"Business Entity Type 3",5,0,5,0,-380
102818,0,"Cash loans","F","Y",0,211500,810000,26901,810000,"Unaccompanied","Commercial associate","Secondary / secondary special","Single / not married","House / apartment",0.00963,-10504,-353,-4108,-3010,5,1,1,0,1,0,0,"Sales staff",1,2,2,"WEDNESDAY",10,0,1,1,0,1,1,"Business Entity Type 3",2,1,2,0,-1831
102822,0,"Cash loans","F","N",0,207000,1125000,32895,1125000,"Unaccompanied","Working","Secondary / secondary special","Separated","House / apartment",0.025164,-11357,-256,-2728,-3089,14,1,1,1,1,0,0,"Medicine staff",1,2,2,"FRIDAY",16,0,0,0,0,0,0,"Other",9,0,9,0,-894
102893,0,"Cash loans","F","N",0,180000,945000,40036.5,945000,"Unaccompanied","State servant","Higher education","Married","House / apartment",0.032561,-18857,-11534,-1412,-2410,7,1,1,0,1,0,0,"Medicine staff",2,1,1,"MONDAY",13,0,0,0,0,1,1,"Medicine",0,0,0,0,-384
102911,0,"Cash loans","F","Y",0,135000,381528,14382,315000,"Unaccompanied","Working","Secondary / secondary special","Single / not married","Municipal apartment",0.006233,-15980,-2509,-5384,-3737,9,1,1,0,1,0,0,"Accountants",1,2,2,"THURSDAY",12,0,0,0,0,0,0,"Self-employed",0,0,0,0,-1932
103016,0,"Cash loans","F","Y",0,157500,521280,26743.5,450000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.007305,-10292,-1596,-5139,-584,26,1,1,0,1,1,0,"Sales staff",2,3,3,"FRIDAY",9,0,0,0,0,0,0,"Business Entity Type 3",3,0,3,0,-710
103079,0,"Cash loans","F","Y",0,135000,450000,24543,450000,"Unaccompanied","Working","Higher education","Single / not married","House / apartment",0.028663,-9721,-490,-4385,-2392,0,1,1,0,1,0,1,"Core staff",1,2,2,"SATURDAY",13,0,0,0,0,0,0,"Self-employed",0,0,0,0,-71
103119,0,"Cash loans","M","N",1,225000,9e+05,45954,9e+05,"Unaccompanied","Working","Higher education","Married","House / apartment",0.018029,-12428,-995,-4266,-4283,14,1,1,1,1,0,0,"Managers",3,3,3,"THURSDAY",10,0,0,0,1,1,0,"Housing",0,0,0,0,-1182
103249,0,"Cash loans","M","N",0,189000,1206000,36693,1206000,"Unaccompanied","Working","Incomplete higher","Married","With parents",0.010032,-9538,-1049,-7945,-1923,20,1,1,0,1,1,0,"Cooking staff",2,2,2,"SATURDAY",8,0,0,0,0,0,0,"Business Entity Type 3",1,0,1,0,-3
103359,0,"Cash loans","F","Y",2,135000,720000,28552.5,720000,"Unaccompanied","Commercial associate","Higher education","Married","Co-op apartment",0.006008,-12810,-2840,-31,-5009,6,1,1,0,1,1,0,"Core staff",4,2,2,"TUESDAY",14,0,0,0,0,0,0,"Bank",1,0,1,0,0
103367,0,"Cash loans","F","Y",1,225000,269982,32040,238500,"Spouse, partner","Commercial associate","Secondary / secondary special","Married","House / apartment",0.019689,-12689,-1782,-824,-1388,7,1,1,1,1,1,1,"Medicine staff",3,2,2,"WEDNESDAY",9,0,0,0,0,1,1,"Hotel",6,0,6,0,-2616
103414,0,"Revolving loans","F","N",0,112500,180000,9000,180000,"Unaccompanied","Commercial associate","Secondary / secondary special","Single / not married","With parents",0.019689,-9149,-696,-6674,-1814,5,1,1,0,1,0,0,"Laborers",1,2,2,"FRIDAY",12,0,0,0,0,0,0,"Self-employed",1,0,1,0,-1
103426,0,"Cash loans","M","Y",0,301500,539100,29376,450000,"Spouse, partner","Commercial associate","Higher education","Married","House / apartment",0.04622,-16029,-429,-713,-4402,2,1,1,0,1,0,0,"Laborers",2,1,1,"MONDAY",9,0,0,0,0,1,1,"Business Entity Type 3",0,0,0,0,0
103438,1,"Cash loans","F","N",1,135000,1078200,34911,9e+05,"Spouse, partner","Working","Secondary / secondary special","Married","Municipal apartment",0.020246,-18448,-2309,-11353,-2007,3,1,1,0,1,0,0,"Medicine staff",3,3,3,"WEDNESDAY",9,0,0,0,0,0,0,"Medicine",1,0,1,0,-440
103444,0,"Cash loans","M","Y",0,270000,1017000,41548.5,1017000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.005002,-12765,-741,-2546,-4703,8,1,1,0,1,0,1,"Managers",2,3,3,"SUNDAY",12,0,0,0,0,0,0,"Construction",0,0,0,0,-2012
103489,0,"Cash loans","F","Y",1,144000,693000,20259,693000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.005002,-17012,-916,-6383,-542,16,1,1,1,1,0,0,"Laborers",3,3,3,"THURSDAY",17,0,0,0,0,0,0,"Business Entity Type 3",0,0,0,0,-1844
